
Optimal Weighted WCRT is: 1.569210425
Start and finish time of all Operations
0 0 0 0.000000 5.377462
0 0 1 5.377462 5.430179
0 0 2 5.430179 5.896003
0 0 3 5.430179 5.430179
0 0 4 5.896003 5.975302
0 0 5 5.430179 5.700768
0 0 6 5.975302 6.443376
0 0 7 5.700768 5.700768
0 0 8 6.443376 6.499568
0 0 9 5.700768 5.892154
0 0 10 6.499568 6.980154
0 0 11 5.892154 5.892154
0 0 12 6.980154 7.030426
0 0 13 5.892154 6.158221
0 0 14 7.030426 7.806935
0 0 15 6.158221 6.158221
0 0 16 7.806935 7.854269
0 0 17 6.158221 6.506541
0 0 18 7.854269 8.686986
0 0 19 6.506541 6.506541
0 0 20 8.686986 8.734087
0 0 21 6.506541 6.949907
0 0 22 8.734087 9.893370
0 0 23 6.949907 7.022861
0 0 24 9.893370 10.192048
0 0 25 7.022861 7.022861
0 0 26 10.192048 10.611920
0 0 27 10.611920 10.997018
0 1 0 20.000000 25.377462
0 1 1 25.377462 25.430179
0 1 2 27.513582 27.979406
0 1 3 25.430179 25.430179
0 1 4 27.979406 28.058705
0 1 5 25.430179 25.700768
0 1 6 28.058705 28.526779
0 1 7 25.700768 25.700768
0 1 8 28.526779 28.582971
0 1 9 25.700768 25.892154
0 1 10 28.582971 29.063557
0 1 11 25.892154 25.892154
0 1 12 29.063557 29.113829
0 1 13 25.892154 26.158221
0 1 14 29.113829 29.890338
0 1 15 26.158221 26.158221
0 1 16 29.890338 29.937672
0 1 17 26.158221 26.506541
0 1 18 29.937672 30.770389
0 1 19 26.506541 26.506541
0 1 20 30.770389 30.817490
0 1 21 26.506541 26.949907
0 1 22 30.817490 31.976773
0 1 23 26.949907 27.022861
0 1 24 31.976773 32.275451
0 1 25 27.022861 27.022861
0 1 26 32.275451 32.695323
0 1 27 32.695323 33.080421
1 0 0 7.022861 11.507037
1 0 1 11.507037 11.541735
1 0 2 11.541735 12.018519
1 0 3 11.541735 11.541735
1 0 4 12.018519 12.098874
1 0 5 11.541735 11.603927
1 0 6 12.098874 12.540352
1 0 7 11.603927 11.603927
1 0 8 12.540352 12.596950
1 0 9 11.603927 11.710842
1 0 10 12.596950 13.010553
1 0 11 11.710842 11.710842
1 0 12 13.010553 13.059891
1 0 13 11.710842 11.860048
1 0 14 13.059891 13.383913
1 0 15 11.860048 11.860048
1 0 16 13.383913 13.432127
1 0 17 11.860048 12.033027
1 0 18 13.432127 14.888690
1 0 19 12.033027 12.033027
1 0 20 14.888690 14.938888
1 0 21 12.033027 12.471981
1 0 22 14.938888 16.051397
1 0 23 12.471981 12.471981
1 0 24 16.051397 16.098603
1 0 25 12.471981 14.056887
1 0 26 16.098603 18.706504
1 0 27 14.056887 17.395079
1 0 28 18.706504 23.807176
1 0 29 17.395079 18.240052
1 0 30 23.807176 27.017998
1 0 31 26.949907 26.949907
1 0 32 27.017998 27.513582
1 0 33 27.513582 27.693960
Printing boolean variables b1(CSh), b2(CSl)
0 0 2 1 0
0 0 4 0 1
0 0 6 0 1
0 0 8 0 1
0 0 10 0 1
0 0 12 0 1
0 0 14 0 1
0 0 16 0 1
0 0 18 0 1
0 0 20 0 1
0 0 22 0 1
0 0 24 0 1
0 0 26 0 1
0 1 2 1 0
0 1 4 0 1
0 1 6 0 1
0 1 8 0 1
0 1 10 0 1
0 1 12 0 1
0 1 14 0 1
0 1 16 0 1
0 1 18 0 1
0 1 20 0 1
0 1 22 0 1
0 1 24 0 1
0 1 26 0 1
1 0 2 0 1
1 0 4 0 1
1 0 6 0 1
1 0 8 1 0
1 0 10 0 1
1 0 12 0 1
1 0 14 0 1
1 0 16 1 0
1 0 18 0 1
1 0 20 0 1
1 0 22 0 1
1 0 24 0 1
1 0 26 0 1
1 0 28 1 0
1 0 30 0 1
1 0 32 1 0
